Time: B1 x y phi phi dx dy dphi dphi d2x d2y d2phi d2phi J1 x y dx dy J2 x y dx dy B2 x y phi phi dx dy dphi dphi d2x d2y d2phi d2phi J1 x y dx dy Lam1 x y Lam2 x y K1 Lin Ang K2 Lin Ang Pot1 - Pot2 - Total Total
RK45  - - - (rad) (deg) dt dt dt(r) dt(d) dt2 dt2 dt2(r) dt2(d) - - - dt dt - - - dt dt  - - - (rad) (deg) dt dt dt(r) dt(d) dt2 dt2 dt2(r) dt2(d) - - - dt dt - - - - - - - Kin Kin - Kin Kin - - - - Kinet Poten
4 SimBody1 - - - - - - - - - - - - Joint001 - - - - Joint004 - - - - SimBody2 - - - - - - - - - - - - Joint004 - - - - SimBody1 - - SimBody2 - - SimBody1 - - SimBody2 - - SimBody1 - SimBody2 -  - - 
0.18 -   61.61814192 -260.27139537 -1.2576108658411578 -72.05579488249153 -345.94089565 -112.03068763 -1.8181445291049931 -104.17200806251658 -554.96243729  515.21262085 -1.84617585682837 -105.77808483521412 - -4.92619279e-11 -7.00000005e+01 3.04680725e-11 2.18363994e-10 -  123.23628314 -450.54279354 -691.88179729 -224.06137399 -  159.70027126 -514.55611861 2.0885864615338567 119.66718939405266 -865.10265796 -322.73338326 -2.7060125447735714 -155.04309812498136 -4598.80688988  -336.11710464 -50.33130700880115 -2883.7714689815252 -  123.23628314 -450.54279354 -691.88179729 -224.06137399 - 0.5301201960445149 -2.1579726014923075 - 0.465697430629974 -0.9593712082501705 - 7.674720491299216 2.336046348085161 - 43.167146688441385 0.3762021868903578 - 4.898441903090202 - 14.871843229740364 53.55411571471612 19.770285132830566 
0.19 -   58.13253784 -261.3651153  -1.2758769754852657 -73.10236587322213 -351.03746351 -106.63750628 -1.8343858746205957 -105.10256861417433 -469.62679442  560.69917047 -1.4318830235564637 -82.0408540062168 - -5.39159828e-11 -7.00000005e+01 2.50111043e-12 7.70128850e-10 -  116.26507492 -452.7302334  -702.07493304 -213.27501115 -  150.82098278 -517.79341383 2.059023509196823 117.97335699519421 -910.57744436 -324.01342759 -3.204616035356856 -183.61097378589443 -4492.06798485    91.10084415 -49.1513059719387 -2816.162389748246 -  116.26507492 -452.7302334  -702.07493304 -213.27501116 - 0.509405117662803 -2.206515059575679 - 0.45488853279727853 -1.0026333642468908 - 7.812448289923819 2.377968203269908 - 47.29756410327974 0.5276108373773583 - 3.6529213188169365 - 11.655888094891225 58.01559143385083 15.308809413708161 
0.2 -   54.5996717  -262.40289801 -1.2942879229399866 -74.15723545921476 -355.45321505 -100.86973271 -1.8474421104074996 -105.85063582109159 -420.24266895  590.30597132 -1.2156348999511197 -69.65074919600724 - -2.88054025e-11 -7.00000005e+01  6.80415724e-11 -8.80859830e-10 -  109.19934257 -454.8057988  -710.90643613 -201.73946389 -  141.49274034 -521.02108914 2.024558054204294 115.99863188512418 -954.84274989 -320.70794337 -3.6839876784250034 -211.07694575195103 -4354.87014525   579.04391837 -46.456133885952376 -2661.7404041597597 -  109.19934257 -454.8057988  -710.90643613 -201.73946388 - 0.4897790489483407 -2.259363438364672 - 0.44099521591808105 -1.0520448401801452 - 7.924054211963893 2.411939030854024 - 51.37055121941041 0.6972652836708634 - 2.4711016548760654 - 8.449489446764233 62.403809745899196 10.920591101640298 
0.21 -   51.02440954 -263.38176993 -1.3128224066288625 -75.21918315004142 -359.59093624  -94.87923938 -1.8594872580774384 -106.54077194619092 -415.39703132  605.60167371 -1.2357436551709573 -70.80289600136561 - -5.90603122e-11 -7.00000005e+01 4.95560926e-10 6.21014351e-11 -  102.04881819 -456.76354264 -719.18187852 -189.75847712 -  131.72937377 -524.19048707 1.9854609923405018 113.75853524896702 -997.52967115 -312.28393335 -4.1281389056823805 -236.52493653935463 -4174.10454335  1111.22357448 -42.08270745037452 -2411.1615273902053 -  102.04881819 -456.76354264 -719.18187853 -189.75847713 - 0.47091134430047854 -2.31503012481446 - 0.422690016685649 -1.105935926371634 - 8.027719223514648 2.4434927886748103 - 55.3203070976137 0.8755285430122065 - 1.3563691734165104 - 5.300984021514296 66.66704765281537 6.657353194930806 
0.22 -   47.40717588 -264.30017753 -1.3314826961972823 -76.28833898680386 -363.93364265  -88.79593663 -1.8730484356243342 -107.31777018485562 -462.1596883   609.48338178 -1.522595617879603 -87.23830280961506 - -2.20552465e-11 -7.00000005e+01 -1.32956757e-10 -8.18985768e-10 -   94.81435082 -458.60035781 -727.86729136 -177.59187148 -  121.54907271 -527.24861241 1.942170611167607 111.27817911424755 -1038.13459404  -298.42393189 -4.519667753347532 -258.9578870681883 -3936.35133293  1660.93503146 -35.92095970523944 -2058.1193871697137 -   94.81435082 -458.60035781 -727.86729136 -177.59187147 - 0.45226374307124656 -2.371147173705019 - 0.39861397655858666 -1.1616023675237188 - 8.145237965103727 2.4792633717662795 - 59.07690742432547 1.0494813504355487 - 0.31049305184410514 - 2.2630176838702027 70.75089011163102 2.573510735714308 
0.23 -   43.74326899 -265.15769452 -1.350297562089436 -77.3663513945289 -369.01664786  -82.71257031 -1.8908639481655765 -108.33852386333119 -563.44383657  606.52377026 -2.0857267315314076 -119.50333893436539 - -3.14983595e-11 -7.00000005e+01  5.94809535e-10 -1.15242926e-09 -   87.48653697 -460.31539178 -738.03330181 -165.42513871 -  110.97570357 -530.14079739 1.895303052663062 108.59286581585467 -1076.03023251  -279.12682284 -4.840601035554146 -277.3460096439083 -3630.86956743  2191.96847482 -27.978317980710678 -1603.0395381697058 -   87.48653697 -460.31539178 -738.03330182 -165.42513871 - 0.43308674323340135 -2.4245786226078194 - 0.36767941533315557 -1.215377382668281 - 8.300921823819722 2.5266507274475627 - 62.56915525728106 1.2038164769834783 - -0.6660412836912428 - -0.6101021540089278 74.60054428553183 -1.2761434377001706 
0.24 -   40.02259283 -265.95456457 -1.369323117305005 -78.45643541127414 -375.37198177  -76.66756861 -1.915607240447223 -109.75621008232817 -715.27213425  602.97138743 -2.9007090872142336 -166.198388292621 - -2.30713226e-11 -7.00000005e+01  2.16834906e-09 -6.07433037e-09 -   80.04518459 -461.90913186 -750.74396966 -153.33513516 -  100.0398531  -532.81428997 1.8456510078811592 105.74801320565707 -1110.51026311  -254.78625617 -5.073908626741909 -290.71354994733076 -3253.1892624   2662.54956173 -18.44564351971157 -1056.85752408231 -   80.04518458 -461.90913186 -750.7439697  -153.33513511 - 0.41246598316133326 -2.471819561677303 - 0.32943368076289253 -1.263030699784067 - 8.519590105856354 2.5932094043835283 - 65.7284276100066 1.3226562502974888 - -1.5735113059557762 - -3.265971215989225 78.16388337054397 -4.839482521945001 
0.25 -   36.23006917 -266.69108115 -1.3886403096524167 -79.56322900482323 -383.44974176  -70.63060827 -1.949502440430486 -111.69826198712103 -905.12098498  606.17792625 -3.90168399711858 -223.55002602862788 -  8.44124770e-12 -7.00000005e+01  2.39396059e-09 -9.11735754e-09 -   72.46013721 -463.38216499 -766.89948971 -141.26121434 -   88.7792497 -535.2223681 1.7941643045325937 102.79804240274218 -1140.86820643  -226.21138547 -5.205563187331234 -298.2568006227484 -2808.11611857  3032.85061477 -7.734675465325753 -443.1642600665518 -   72.46013721 -463.38216499 -766.89948975 -141.26121425 - 0.3894343107798691 -2.5096902682715974 - 0.2843634213480155 -1.3005291756036554 - 8.823752686202843 2.6857910020883047 - 68.49309814572958 1.3921856392311658 - -2.4122512096582795 - -5.6581754150907955 81.3948274732519 -8.070426624749075 
0.26 -   32.34688472 -267.36686238 -1.4083483695032797 -80.69241765666891 -393.53361337  -64.49708075 -1.993919392554513 -114.24316588266241 -1112.5750586    623.40881307 -4.985502982224836 -285.6482796313686 -  3.10649284e-11 -7.00000005e+01  1.70115300e-09 -8.80444873e-09 -   64.69376826 -464.73372742 -787.06723303 -128.99415911 -   77.23827542 -537.32824206 1.7419089129650414 99.80402900911791 -1166.49674595  -194.56049371 -5.226696738776678 -299.46766392669497 -2310.56087296  3274.44004206 3.5441328342148926 203.06385343425202 -   64.69376825 -464.73372742 -787.06723305 -128.99415903 - 0.3631317476528129 -2.53615502824692 - 0.2339785704456193 -1.324993689607251 - 9.230409217118307 2.809569907782625 - 70.81290283997754 1.4035125789495553 - -3.1818261308754927 - -7.750167564817616 84.25639454382804 -10.931993695693109 
0.27 -   28.35250418 -267.98013745 -1.4285546422131026 -81.85015180263213 -405.67670877  -58.09648765 -2.0490778267153855 -117.40351136463063 -1312.68646153   660.32303816 -6.029100975555816 -345.44204015755554 -  8.46611670e-12 -7.00000005e+01  2.40049758e-10 -1.18410526e-09 -   56.7050071  -465.96027754 -811.35342396 -116.19297272 -   65.46649478 -539.1078308  1.6900066686099282 96.83024946031324 -1186.97968874  -161.18483837 -5.1351856349058975 -294.22446389631597 -1783.17875621  3378.10702322 14.672203166574416 840.655317603196 -   56.7050071  -465.96027753 -811.35342397 -116.19297271 - 0.332956398000956 -2.5509380327603477 - 0.18057330629547183 -1.3354915095681676 - 9.748160438773606 2.9671640314924392 - 72.65252491214177 1.354796294604254 - -3.8802194756745507 - -9.518025352981681 86.72264567701207 -13.398244828656232 
0.28 -   24.22712239 -268.52719173 -1.4493624944230665 -83.04235391499503 -419.68068039  -51.2154287  -2.113970775257779 -121.12160343626941 -1480.97700418   719.67513164 -6.914463837613569 -396.1695954910881 -  2.05595541e-11 -7.00000005e+01 1.69052328e-10 4.95440133e-10 -   48.45424346 -467.05438608 -839.36136734 -102.43085461 -   53.51643196 -540.55066125 1.6395645216995836 93.94012733277161 -1202.14587074  -127.41829153 -4.936093735131493 -282.817338304001 -1251.35781721  3356.40428709 24.95278207615155 1429.6891000731719 -   48.45424346 -467.05438608 -839.36136735 -102.4308546  - 0.2986376299871152 -2.5556301912399437 - 0.1267185455332383 -1.3332937855293419 - 10.375373003072962 3.158076211549461 - 73.99371600732921 1.251781419937491 - -4.50320105905007 - -10.95134473441692 88.77894664188912 -15.454545793466991 
0.29 -   19.95407326 -269.00209616 -1.4708597008563107 -84.27405311494141 -435.12453981  -43.63022869 -2.186532449953111 -125.27908115071315 -1598.01397729   800.74570817 -7.550749962462982 -432.62610500769364 -  2.42863507e-11 -7.00000005e+01  1.73201897e-10 -1.05072218e-09 -   39.90814513 -468.00419492 -870.24908634  -87.26045434 -   41.44107984 -541.6586471  1.5916058418246446 91.19229738491862 -1212.06784763   -94.37456389 -4.640843169031322 -265.90072696761285 -737.59721982 3239.67197739 33.826145524765195 1938.095375764383 -   39.90814513 -468.00419491 -870.24908634  -87.26045433 - 0.2601979734415826 -2.5532203836129157 - 0.07469266232210092 -1.3214729072012763 - 11.099862904004125 3.3785978564998564 - 74.835475409709 1.106510371886637 - -5.044018891861867 - -12.05202680169839 90.42044654209963 -17.096045693560256 
